categoria,serie,tipo,fecha,valor,porcentaje
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-10 23:00:00+00:00,37348.62,0.025040232995325835
generacion,Generación total,Generación total,2023-01-10 23:00:00+00:00,745772.214,1.0
generacion,Nuclear,Nuclear,2023-01-10 23:00:00+00:00,170439.582,0.11427053649923191
generacion,Motores diésel,Motores diésel,2023-01-10 23:00:00+00:00,5911.228,0.0039631591852254235
generacion,Residuos renovables,Residuos renovables,2023-01-10 23:00:00+00:00,2503.5415,0.0016784893919365032
generacion,Turbina de vapor,Turbina de vapor,2023-01-10 23:00:00+00:00,3644.964,0.0024437515447578743
generacion,Otras renovables,Otras renovables,2023-01-10 23:00:00+00:00,11805.462,0.007914924811076429
generacion,Hidráulica,Hidráulica,2023-01-10 23:00:00+00:00,147320.516,0.09877045110720631
generacion,Solar térmica,Solar térmica,2023-01-10 23:00:00+00:00,943.425,0.0006325155203489519
generacion,Eólica,Eólica,2023-01-10 23:00:00+00:00,202813.449,0.13597546622996065
generacion,Residuos no renovables,Residuos no renovables,2023-01-10 23:00:00+00:00,3946.3495,0.0026458142485850243
generacion,Ciclo combinado,Ciclo combinado,2023-01-10 23:00:00+00:00,94012.128,0.06303005544800305
generacion,Hidroeólica,Hidroeólica,2023-01-10 23:00:00+00:00,72.894,4.8871490940261826e-05
generacion,Ciclo combinado,Ciclo combinado,2023-01-11 23:00:00+00:00,93902.531,0.06372991112075231
generacion,Hidráulica,Hidráulica,2023-01-11 23:00:00+00:00,159624.344,0.10833409011976891
generacion,Hidroeólica,Hidroeólica,2023-01-11 23:00:00+00:00,97.084,6.588911529176053e-05
generacion,Generación total,Generación total,2023-01-11 23:00:00+00:00,736722.595,1.0
generacion,Eólica,Eólica,2023-01-11 23:00:00+00:00,155530.677,0.10555579403669572
generacion,Turbina de gas,Turbina de gas,2023-01-11 23:00:00+00:00,1799.779,0.00122147672150601
generacion,Otras renovables,Otras renovables,2023-01-11 23:00:00+00:00,11350.84,0.0077036051812690775
generacion,Residuos renovables,Residuos renovables,2023-01-11 23:00:00+00:00,2451.371,0.0016637001611169535
generacion,Turbina de vapor,Turbina de vapor,2023-01-11 23:00:00+00:00,3020.322,0.002049836682421828
generacion,Residuos no renovables,Residuos no renovables,2023-01-11 23:00:00+00:00,3837.259,0.0026042767155797634
generacion,Carbón,Carbón,2023-01-11 23:00:00+00:00,14551.317,0.00987570973033615
generacion,Solar térmica,Solar térmica,2023-01-11 23:00:00+00:00,3836.722,0.0026039122636112447
generacion,Nuclear,Nuclear,2023-01-11 23:00:00+00:00,170473.153,0.11569697614608929
generacion,Motores diésel,Motores diésel,2023-01-11 23:00:00+00:00,5443.027,0.0036940817594986347
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-11 23:00:00+00:00,60812.197,0.041272113420113034
generacion,Cogeneración,Cogeneración,2023-01-11 23:00:00+00:00,49991.972,0.033928626825949326
generacion,Residuos no renovables,Residuos no renovables,2023-01-12 23:00:00+00:00,3798.3065,0.0025791619204942285
generacion,Cogeneración,Cogeneración,2023-01-12 23:00:00+00:00,47429.922,0.0322063131857346
generacion,Eólica,Eólica,2023-01-12 23:00:00+00:00,157196.795,0.10674125105168251
generacion,Otras renovables,Otras renovables,2023-01-12 23:00:00+00:00,11282.049,0.007660843369525337
generacion,Hidroeólica,Hidroeólica,2023-01-12 23:00:00+00:00,93.648,6.358974862361514e-05
generacion,Motores diésel,Motores diésel,2023-01-12 23:00:00+00:00,5621.783,0.003817356139869651
generacion,Generación total,Generación total,2023-01-12 23:00:00+00:00,736345.103,1.0
generacion,Solar térmica,Solar térmica,2023-01-12 23:00:00+00:00,2668.354,0.0018118909116993207
generacion,Turbina de gas,Turbina de gas,2023-01-12 23:00:00+00:00,1763.267,0.0011973101965478817
generacion,Turbina de vapor,Turbina de vapor,2023-01-12 23:00:00+00:00,3333.138,0.002263298816288862
generacion,Carbón,Carbón,2023-01-12 23:00:00+00:00,13149.289,0.008928754293623654
generacion,Nuclear,Nuclear,2023-01-12 23:00:00+00:00,170482.326,0.11576251767372725
generacion,Hidráulica,Hidráulica,2023-01-12 23:00:00+00:00,163310.077,0.11089234948032242
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-12 23:00:00+00:00,55502.482,0.03768781904970448
generacion,Ciclo combinado,Ciclo combinado,2023-01-12 23:00:00+00:00,98190.981,0.0666745664498566
generacion,Residuos renovables,Residuos renovables,2023-01-12 23:00:00+00:00,2522.6855,0.0017129777122996638
generacion,Generación total,Generación total,2023-01-13 23:00:00+00:00,691694.636,1.0
generacion,Otras renovables,Otras renovables,2023-01-13 23:00:00+00:00,10277.482,0.007429204641106976
generacion,Cogeneración,Cogeneración,2023-01-13 23:00:00+00:00,34613.742,0.02502097038092399
